DATA PEDIDO,DATA ENTREGA,PRODUTO,MEIO,FALHAS,STATUS,MOTIVO,Prazo
28/10/2004,21/1/2005,COBRANÇA COM REGISTRO,CNAB,10,Desistiu,FALTA ASSISTENCIA TECNICA,85
28/10/2004,28/1/2005,CONTAS A PAGAR,INTERNET,11,Desistiu,NÃO CUMPRIU PRAZO,92
28/10/2004,2/12/2004,CONTAS A PAGAR,INTERNET,5,Desistiu,MUITA BUROCRACIA,35
29/10/2004,26/11/2004,CONTAS A PAGAR,INTERNET,6,Operando,,28
29/10/2004,25/11/2004,CONTAS A PAGAR,INTERNET,6,Operando,,27
1/11/2004,11/2/2005,COBRANÇA COM REGISTRO,CNAB,10,Desistiu,FALTA ASSISTENCIA TECNICA,102
1/11/2004,19/12/2004,CONTAS A PAGAR,INTERNET,7,Desistiu,NÃO CUMPRIU PRAZO,48
1/11/2004,17/12/2004,CONTAS A PAGAR,INTERNET,6,Desistiu,NÃO CUMPRIU PRAZO,46
1/11/2004,25/11/2004,CONTAS A PAGAR,INTERNET,5,Operando,,24
1/11/2004,23/11/2004,CONTAS A PAGAR,INTERNET,4,Operando,,22
1/11/2004,22/11/2004,COBRANÇA COM REGISTRO,INTERNET,2,Operando,,21
1/11/2004,22/11/2004,COBRANÇA SEM REGISTRO,INTERNET,3,Operando,,21
1/11/2004,22/11/2004,CONTAS A PAGAR,INTERNET,4,Operando,,21
3/11/2004,1/1/2005,CONTAS A PAGAR,CNAB,8,Desistiu,NÃO CUMPRIU PRAZO,59
3/11/2004,14/12/2004,CONTAS A PAGAR,INTERNET,4,Desistiu,NÃO CUMPRIU PRAZO,41
3/11/2004,25/11/2004,CONTAS A PAGAR,CNAB,5,Operando,,22
3/11/2004,6/12/2004,COBRANÇA SEM REGISTRO,INTERNET,5,Operando,,33
3/11/2004,24/11/2004,CONTAS A PAGAR,INTERNET,2,Operando,,21
4/11/2004,7/12/2004,CONTAS A PAGAR,INTERNET,5,Desistiu,OFERTA CONCORRENCIA,33
4/11/2004,1/1/2005,COBRANÇA COM REGISTRO,CNAB,9,Operando,,58
4/11/2004,19/11/2004,COBRANÇA COM REGISTRO,CNAB,2,Operando,,15
8/11/2004,2/12/2004,CONTAS A PAGAR,INTERNET,6,Operando,,24
9/11/2004,19/2/2005,COBRANÇA SEM REGISTRO,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,102
9/11/2004,23/12/2004,CONTAS A PAGAR,INTERNET,5,Desistiu,FALTA DE RETORNO,44
9/11/2004,16/12/2004,COBRANÇA COM REGISTRO,INTERNET,9,Desistiu,MUITA BUROCRACIA,37
9/11/2004,14/12/2004,COBRANÇA COM REGISTRO,CNAB,3,Operando,,35
10/11/2004,27/11/2004,COBRANÇA SEM REGISTRO,INTERNET,4,Operando,,17
11/11/2004,20/2/2005,COBRANÇA COM REGISTRO,CNAB,13,Desistiu,NÃO CUMPRIU PRAZO,101
11/11/2004,31/12/2004,CONTAS A PAGAR,INTERNET,8,Desistiu,NÃO CUMPRIU PRAZO,50
11/11/2004,27/12/2004,CONTAS A PAGAR,INTERNET,6,Desistiu,MUITA BUROCRACIA,46
11/11/2004,13/12/2004,CONTAS A PAGAR,INTERNET,5,Operando,,32
11/11/2004,23/11/2004,COBRANÇA COM REGISTRO,INTERNET,7,Operando,,12
12/11/2004,20/2/2005,CONTAS A PAGAR,CNAB,10,Desistiu,MAU ATENDIMENTO,100
12/11/2004,3/12/2004,CONTAS A PAGAR,CNAB,6,Desistiu,OFERTA CONCORRENCIA,21
12/11/2004,21/12/2004,CONTAS A PAGAR,INTERNET,5,Operando,,39
12/11/2004,13/12/2004,COBRANÇA COM REGISTRO,INTERNET,5,Operando,,31
17/11/2004,5/1/2005,COBRANÇA COM REGISTRO,CNAB,7,Desistiu,MUITA BUROCRACIA,49
19/11/2004,10/12/2004,COBRANÇA COM REGISTRO,INTERNET,5,Operando,,21
22/11/2004,3/1/2005,CONTAS A PAGAR,INTERNET,6,Desistiu,MUITA BUROCRACIA,42
22/11/2004,28/12/2004,CONTAS A PAGAR,INTERNET,5,Desistiu,OFERTA CONCORRENCIA,36
23/11/2004,28/2/2005,CONTAS A PAGAR,CNAB,11,Desistiu,MUITA BUROCRACIA,97
23/11/2004,19/2/2005,COBRANÇA COM REGISTRO,CNAB,9,Desistiu,FALTA ASSISTENCIA TECNICA,88
23/11/2004,20/12/2004,CONTAS A PAGAR,INTERNET,5,Desistiu,PREÇO DOS SERVIÇOS,27
23/11/2004,28/12/2004,CONTAS A PAGAR,CNAB,7,Operando,,35
24/11/2004,2/3/2005,CONTAS A PAGAR,CNAB,11,Desistiu,NÃO CUMPRIU PRAZO,98
24/11/2004,17/2/2005,CONTAS A PAGAR,CNAB,7,Desistiu,NÃO CUMPRIU PRAZO,85
24/11/2004,25/2/2005,CONTAS A PAGAR,INTERNET,11,Desistiu,NÃO CUMPRIU PRAZO,93
25/11/2004,25/12/2004,CONTAS A PAGAR,CNAB,6,Desistiu,FALTA DE RETORNO,30
29/11/2004,8/3/2005,COBRANÇA SEM REGISTRO,CNAB,11,Desistiu,MUITA BUROCRACIA,99
29/11/2004,6/3/2005,COBRANÇA SEM REGISTRO,CNAB,10,Desistiu,NÃO CUMPRIU PRAZO,97
29/11/2004,5/3/2005,COBRANÇA COM REGISTRO,CNAB,10,Desistiu,FALTA DE RETORNO,96
29/11/2004,5/3/2005,COBRANÇA SEM REGISTRO,CNAB,10,Desistiu,NÃO CUMPRIU PRAZO,96
29/11/2004,5/3/2005,COBRANÇA SEM REGISTRO,CNAB,10,Desistiu,MAU ATENDIMENTO,96
29/11/2004,20/1/2005,COBRANÇA COM REGISTRO,CNAB,4,Desistiu,MUITA BUROCRACIA,52
29/11/2004,4/1/2005,CONTAS A PAGAR,INTERNET,4,Operando,,36
30/11/2004,24/1/2005,CONTAS A PAGAR,INTERNET,5,Desistiu,MUITA BUROCRACIA,55
30/11/2004,7/1/2005,CONTAS A PAGAR,INTERNET,5,Desistiu,NÃO CUMPRIU PRAZO,38
